sentence_id	label	nedoumica	napomena	annotator
pol-749912-007	OBJ			Aleksa
pol-749912-008	OBJ			Aleksa
pol-749912-009	SUBJ			Aleksa
pol-749912-010	OBJ			Aleksa
pol-749912-011	SUBJ			Aleksa
pol-749912-012	SUBJ			Aleksa
pol-749912-014	SUBJ			Aleksa
pol-749400-027	OBJ			Aleksa
pol-749400-028	OBJ			Aleksa
pol-749400-029	OBJ			Aleksa
pol-749400-030	OBJ			Aleksa
pol-749400-031	OBJ			Aleksa
pol-749400-033	OBJ			Aleksa
pol-749400-034	OBJ			Aleksa
pol-750838-006	SUBJ			Aleksa
pol-750838-007	OBJ			Aleksa
pol-750838-009	OBJ			Aleksa
pol-750838-010	OBJ			Aleksa
pol-750838-011	OBJ			Aleksa
pol-750838-012	OBJ			Aleksa
pol-750838-013	OBJ			Aleksa
pol-748724-011	SUBJ			Aleksa
pol-748724-012	SUBJ			Aleksa
pol-748724-013	SUBJ			Aleksa
pol-748724-014	SUBJ			Aleksa
pol-748724-015	SUBJ			Aleksa
pol-748724-017	SUBJ			Aleksa
pol-748724-018	SUBJ			Aleksa
pol-754679-016	SUBJ			Aleksa
pol-754679-017	OBJ			Aleksa
pol-754679-018	SUBJ			Aleksa
pol-754679-019	OBJ			Aleksa
pol-754679-020	OBJ			Aleksa
pol-754679-021	SUBJ			Aleksa
pol-754679-022	OBJ			Aleksa
pol-754679-023	SUBJ			Aleksa
pol-747221-023	OBJ			Aleksa
pol-747221-024	OBJ			Aleksa
pol-747221-025	OBJ			Aleksa
pol-747221-026	OBJ			Aleksa
pol-747221-027	SUBJ			Aleksa
pol-747221-028	OBJ			Aleksa
pol-747221-029	OBJ			Aleksa
pol-759039-064	SUBJ			Aleksa
pol-759039-065	SUBJ			Aleksa
pol-759039-066	SUBJ			Aleksa
pol-759039-067	SUBJ			Aleksa
pol-759039-068	SUBJ			Aleksa
pol-759039-070	SUBJ			Aleksa
pol-759039-071	SUBJ			Aleksa
pol-759176-013	SUBJ			Aleksa
pol-759176-014	SUBJ			Aleksa
pol-759176-015	SUBJ			Aleksa
pol-759176-016	OBJ			Aleksa
pol-759176-017	SUBJ			Aleksa
pol-759176-018	OBJ			Aleksa
pol-759176-019	OBJ			Aleksa
pol-766974-026	SUBJ			Aleksa
pol-766974-028	SUBJ			Aleksa
pol-766974-029	SUBJ			Aleksa
pol-766974-030	SUBJ			Aleksa
pol-766974-031	SUBJ			Aleksa
pol-766974-032	OBJ			Aleksa
pol-766974-033	SUBJ			Aleksa
pol-764415-047	SUBJ			Aleksa
pol-764415-048	SUBJ			Aleksa
pol-764415-049	OBJ			Aleksa
pol-764415-050	OBJ			Aleksa
pol-764415-051	OBJ			Aleksa
pol-764415-052	OBJ			Aleksa
pol-764415-053	OBJ			Aleksa
pol-770728-017	SUBJ			Aleksa
pol-770728-018	SUBJ			Aleksa
pol-770728-019	SUBJ			Aleksa
pol-770728-020	SUBJ			Aleksa
pol-770728-021	SUBJ			Aleksa
pol-770728-022	SUBJ			Aleksa
pol-770728-023	SUBJ			Aleksa
pol-770728-024	SUBJ			Aleksa
pol-773572-003	SUBJ			Aleksa
pol-773572-005	SUBJ			Aleksa
pol-773572-006	OBJ			Aleksa
pol-773572-007	SUBJ			Aleksa
pol-773572-008	SUBJ			Aleksa
pol-773572-009	SUBJ			Aleksa
pol-773572-010	OBJ			Aleksa
vre-4918487-011	SUBJ			Aleksa
vre-4918487-012	SUBJ			Aleksa
vre-4918487-013	SUBJ			Aleksa
vre-4918487-014	SUBJ			Aleksa
vre-4918487-015	SUBJ			Aleksa
vre-4918487-016	SUBJ			Aleksa
vre-4918487-017	SUBJ			Aleksa
vre-4918487-018	SUBJ			Aleksa
vre-4930037-011	SUBJ			Aleksa
vre-4930037-012	SUBJ			Aleksa
vre-4930037-013	SUBJ			Aleksa
vre-4930037-014	SUBJ			Aleksa
vre-4930037-015	SUBJ			Aleksa
vre-4930037-016	SUBJ			Aleksa
vre-4930037-017	SUBJ			Aleksa
vre-4934883-010	SUBJ			Aleksa
vre-4934883-011	SUBJ			Aleksa
vre-4934883-012	SUBJ			Aleksa
vre-4934883-013	SUBJ			Aleksa
vre-4934883-014	OBJ			Aleksa
vre-4934883-015	SUBJ			Aleksa
vre-4934883-016	SUBJ			Aleksa
vre-4934883-017	SUBJ			Aleksa
vre-4937332-000	SUBJ			Aleksa
vre-4937332-001	SUBJ			Aleksa
vre-4937332-002	SUBJ			Aleksa
vre-4937332-004	SUBJ			Aleksa
vre-4937332-005	SUBJ			Aleksa
vre-4937332-006	SUBJ			Aleksa
vre-4937332-007	SUBJ			Aleksa
vre-4972996-009	SUBJ			Aleksa
vre-4972996-011	OBJ			Aleksa
vre-4972996-012	OBJ			Aleksa
vre-4972996-013	SUBJ			Aleksa
vre-4972996-014	SUBJ			Aleksa
vre-4972996-015	SUBJ			Aleksa
vre-4972996-016	SUBJ			Aleksa
vre-4965461-000	OBJ			Aleksa
vre-4965461-001	SUBJ			Aleksa
vre-4965461-002	SUBJ			Aleksa
vre-4965461-003	SUBJ			Aleksa
vre-4965461-005	OBJ			Aleksa
vre-4965461-006	SUBJ			Aleksa
vre-4965461-007	SUBJ			Aleksa
vre-4934233-023	SUBJ			Aleksa
vre-4934233-024	SUBJ			Aleksa
vre-4934233-025	OBJ			Aleksa
vre-4934233-026	OBJ			Aleksa
vre-4934233-028	SUBJ			Aleksa
vre-4934233-029	OBJ			Aleksa
vre-4934233-030	SUBJ			Aleksa
vre-4948477-004	SUBJ			Aleksa
