sentence_id	label	nedoumica	napomena	annotator
pol-752256-012	SUBJ			Anica
pol-752256-013	SUBJ			Anica
pol-752256-014	SUBJ			Anica
pol-752256-015	SUBJ			Anica
pol-752256-016	SUBJ			Anica
pol-752256-017	SUBJ			Anica
pol-752256-019	SUBJ			Anica
pol-754422-010	OBJ	Y		Anica
pol-754422-011	OBJ	Y		Anica
pol-754422-012	OBJ	Y		Anica
pol-754422-013	SUBJ			Anica
pol-754422-015	OBJ			Anica
pol-754422-016	SUBJ			Anica
pol-754422-017	OBJ	Y		Anica
pol-756889-007	OBJ			Anica
pol-756889-008	OBJ			Anica
pol-756889-009	OBJ			Anica
pol-756889-011	OBJ			Anica
pol-756889-012	SUBJ			Anica
pol-756889-013	SUBJ			Anica
pol-756889-014	SUBJ			Anica
pol-756787-027	SUBJ	Y		Anica
pol-756787-029	SUBJ			Anica
pol-756787-030	SUBJ			Anica
pol-756787-031	SUBJ			Anica
pol-756787-032	SUBJ			Anica
pol-756787-033	SUBJ	Y		Anica
pol-756787-034	SUBJ	Y		Anica
pol-767254-012	OBJ			Anica
pol-767254-013	SUBJ			Anica
pol-767254-015	SUBJ	Y		Anica
pol-767254-016	SUBJ			Anica
pol-767254-017	SUBJ			Anica
pol-767254-018	OBJ			Anica
pol-767254-019	SUBJ	Y		Anica
pol-765327-014	OBJ			Anica
pol-765327-015	OBJ			Anica
pol-765327-017	OBJ			Anica
pol-765327-018	OBJ			Anica
pol-765327-019	SUBJ			Anica
pol-765327-020	SUBJ			Anica
pol-765327-021	SUBJ			Anica
pol-763223-045	OBJ			Anica
pol-763223-046	OBJ			Anica
pol-763223-047	OBJ			Anica
pol-763223-048	OBJ			Anica
pol-763223-049	OBJ			Anica
pol-763223-050	OBJ			Anica
pol-763223-051	OBJ			Anica
pol-762474-026	OBJ			Anica
pol-762474-027	OBJ			Anica
pol-762474-029	OBJ			Anica
pol-762474-030	OBJ			Anica
pol-762474-031	OBJ			Anica
pol-762474-032	OBJ	Y		Anica
pol-762474-033	SUBJ			Anica
pol-770077-010	SUBJ			Anica
pol-770077-012	SUBJ			Anica
pol-770077-013	SUBJ			Anica
pol-770077-014	OBJ			Anica
pol-770077-015	OBJ	Y		Anica
pol-770077-016	SUBJ	Y		Anica
pol-770077-017	OBJ			Anica
pol-768048-002	SUBJ	Y		Anica
pol-768048-003	SUBJ	Y		Anica
pol-768048-004	SUBJ			Anica
pol-768048-005	OBJ			Anica
pol-768048-006	SUBJ	Y		Anica
pol-768048-008	OBJ			Anica
pol-768048-009	OBJ			Anica
pol-773254-004	SUBJ			Anica
pol-773254-005	SUBJ			Anica
pol-773254-006	SUBJ			Anica
pol-773254-007	OBJ			Anica
pol-773254-008	SUBJ			Anica
pol-773254-009	SUBJ			Anica
pol-773254-010	OBJ			Anica
pol-773254-011	OBJ			Anica
pol-772423-032	OBJ			Anica
pol-772423-033	OBJ			Anica
pol-772423-034	OBJ			Anica
pol-772423-035	SUBJ			Anica
pol-772423-037	SUBJ			Anica
pol-772423-038	SUBJ	Y		Anica
pol-772423-039	SUBJ			Anica
