sentence_id	label	nedoumica	napomena	annotator
pol-750140-029	SUBJ			Dimitrije Stanišić
pol-750140-030	SUBJ			Dimitrije Stanišić
pol-750140-031	SUBJ			Dimitrije Stanišić
pol-750140-032	SUBJ			Dimitrije Stanišić
pol-750140-034	SUBJ			Dimitrije Stanišić
pol-750140-035	SUBJ			Dimitrije Stanišić
pol-750140-036	SUBJ			Dimitrije Stanišić
pol-749395-016	OBJ			Dimitrije Stanišić
pol-749395-017	SUBJ			Dimitrije Stanišić
pol-749395-018	SUBJ			Dimitrije Stanišić
pol-749395-020	SUBJ			Dimitrije Stanišić
pol-749395-021	OBJ			Dimitrije Stanišić
pol-749395-022	OBJ			Dimitrije Stanišić
pol-749395-023	OBJ			Dimitrije Stanišić
pol-759678-000	OBJ			Dimitrije Stanišić
pol-759678-002	OBJ			Dimitrije Stanišić
pol-759678-003	OBJ			Dimitrije Stanišić
pol-759678-004	OBJ			Dimitrije Stanišić
pol-759678-005	OBJ			Dimitrije Stanišić
pol-759678-006	OBJ			Dimitrije Stanišić
pol-759678-007	OBJ			Dimitrije Stanišić
pol-756279-005	SUBJ			Dimitrije Stanišić
pol-756279-006	SUBJ			Dimitrije Stanišić
pol-756279-007	SUBJ			Dimitrije Stanišić
pol-756279-009	SUBJ			Dimitrije Stanišić
pol-756279-010	SUBJ			Dimitrije Stanišić
pol-756279-011	SUBJ			Dimitrije Stanišić
pol-756279-012	SUBJ			Dimitrije Stanišić
pol-759883-061	OBJ	Y		Dimitrije Stanišić
pol-759883-062	SUBJ	Y		Dimitrije Stanišić
pol-759883-063	SUBJ			Dimitrije Stanišić
pol-759883-064	SUBJ			Dimitrije Stanišić
pol-759883-065	SUBJ			Dimitrije Stanišić
pol-759883-066	OBJ			Dimitrije Stanišić
pol-759883-067	SUBJ			Dimitrije Stanišić
pol-759883-068	SUBJ			Dimitrije Stanišić
pol-761066-052	SUBJ			Dimitrije Stanišić
pol-761066-054	SUBJ			Dimitrije Stanišić
pol-761066-055	SUBJ			Dimitrije Stanišić
pol-761066-056	SUBJ			Dimitrije Stanišić
pol-761066-057	SUBJ			Dimitrije Stanišić
pol-761066-058	OBJ			Dimitrije Stanišić
pol-761066-059	SUBJ			Dimitrije Stanišić
pol-757014-056	OBJ			Dimitrije Stanišić
pol-757014-057	SUBJ			Dimitrije Stanišić
