sentence_id	source	article_id	genre	topic	category	sent_idx	n_clean	url	text	in_quote	text_marked	member	label	izvor_oznake
pol-749912-007	politika	749912	kolumna	pol-drustvo	pogledi	7	23	https://www.politika.rs/sr/clanak/749912/evropske-sile-ne-cekaju-ekoloske-dozvole-sa-ulice	Investicija teška 1,8 milijardi evra, koju predvodi kompanija Imerys uz snažno pokroviteljstvo države, projektovana je da od 2030. godine proizvodi 34.000 tona litijum-hidroksida godišnje.		Investicija teška 1,8 milijardi evra, koju predvodi kompanija Imerys uz snažno pokroviteljstvo države, projektovana je da od 2030. godine proizvodi 34.000 tona litijum-hidroksida godišnje.	../to_annotate_q.tsv	OBJ	Aleksa
pol-749912-008	politika	749912	kolumna	pol-drustvo	pogledi	8	23	https://www.politika.rs/sr/clanak/749912/evropske-sile-ne-cekaju-ekoloske-dozvole-sa-ulice	To je količina dovoljna za opremanje 700.000 automobila, što pokriva gotovo polovinu francuskih nacionalnih potreba.		To je količina dovoljna za opremanje 700.000 automobila, što pokriva gotovo polovinu francuskih nacionalnih potreba.	../to_annotate_q.tsv	OBJ	Aleksa
pol-749912-009	politika	749912	kolumna	pol-drustvo	pogledi	9	23	https://www.politika.rs/sr/clanak/749912/evropske-sile-ne-cekaju-ekoloske-dozvole-sa-ulice	Za Pariz, ovo nije samo ekonomsko pitanje, već pitanje suvereniteta.		Za Pariz, ovo nije samo ekonomsko pitanje, već pitanje suvereniteta.	../to_annotate_q.tsv	SUBJ	Aleksa
pol-749912-010	politika	749912	kolumna	pol-drustvo	pogledi	10	23	https://www.politika.rs/sr/clanak/749912/evropske-sile-ne-cekaju-ekoloske-dozvole-sa-ulice	Svaka tona litijuma iskopana u departmanu Alije znači manju zavisnost od Kine i veću stabilnost za francusku auto-industriju.		Svaka tona litijuma iskopana u departmanu Alije znači manju zavisnost od Kine i veću stabilnost za francusku auto-industriju.	../to_annotate_q.tsv	OBJ	Aleksa
pol-749912-011	politika	749912	kolumna	pol-drustvo	pogledi	11	23	https://www.politika.rs/sr/clanak/749912/evropske-sile-ne-cekaju-ekoloske-dozvole-sa-ulice	I dok Francuska ruši birokratske barijere kako bi što pre zagrebala tlo u potrazi za „belim zlatom”, Srbija se nalazi u svojevrsnom stanju paralize.		I dok Francuska ruši birokratske barijere kako bi što pre zagrebala tlo u potrazi za „belim zlatom”, Srbija se nalazi u svojevrsnom stanju paralize.	../to_annotate_q.tsv	SUBJ	Aleksa
pol-749912-012	politika	749912	kolumna	pol-drustvo	pogledi	12	23	https://www.politika.rs/sr/clanak/749912/evropske-sile-ne-cekaju-ekoloske-dozvole-sa-ulice	Paradoks je uočljiv svakom objektivnom posmatraču.		Paradoks je uočljiv svakom objektivnom posmatraču.	../to_annotate_q.tsv	SUBJ	Aleksa
pol-749912-013	politika	749912	kolumna	pol-drustvo	pogledi	13	23	https://www.politika.rs/sr/clanak/749912/evropske-sile-ne-cekaju-ekoloske-dozvole-sa-ulice	Zemlja koja raspolaže jednim od najkvalitetnijih nalazišta litijuma u Evropi, jedina je koja svesno odbija da koristi svoje resurse.		Zemlja koja raspolaže jednim od najkvalitetnijih nalazišta litijuma u Evropi, jedina je koja svesno odbija da koristi svoje resurse.	../to_annotate_q.tsv	SUBJ	saglasnost
pol-749912-014	politika	749912	kolumna	pol-drustvo	pogledi	14	23	https://www.politika.rs/sr/clanak/749912/evropske-sile-ne-cekaju-ekoloske-dozvole-sa-ulice	Glavni kočničari ovog procesa, popularno nazvani „blokaderi”, pod maskom ekologije sprovode agendu koja direktno podriva ekonomsku budućnost zemlje.		Glavni kočničari ovog procesa, popularno nazvani „blokaderi”, pod maskom ekologije sprovode agendu koja direktno podriva ekonomsku budućnost zemlje.	../to_annotate_q.tsv	SUBJ	Aleksa
pol-749400-027	politika	749400	kolumna	pol-drustvo	pogledi	27	37	https://www.politika.rs/sr/clanak/749400/haos-na-srpskim-univerzitetima-apsolutno-je-nezamisliv-u-americi	Univerzitet je vlasnik osnovnih sredstava (zgrada, itd.; za državne univerzitete vlasnik je država), kojima u ime UO upravlja ’rektor’ – a rekli smo šta mora biti njegov fokus i šta ne sme biti njegov fokus.	Y	„Univerzitet je vlasnik osnovnih sredstava (zgrada, itd.; za državne univerzitete vlasnik je država), kojima u ime UO upravlja ’rektor’ – a rekli smo šta mora biti njegov fokus i šta ne sme biti njegov fokus.“	../to_annotate_q.tsv	OBJ	Aleksa
pol-749400-028	politika	749400	kolumna	pol-drustvo	pogledi	28	37	https://www.politika.rs/sr/clanak/749400/haos-na-srpskim-univerzitetima-apsolutno-je-nezamisliv-u-americi	Ono što po univerzitetima u Srbiji rade blokaderi bilo bi kršenje i zakona SAD o svojini, kao i kršenje univerzitetskih pravila za studente – a za one koji slabo čitaju postoji i univerzitetska policija – čiji su domen i način rada definisani odlukom UO.	Y	„Ono što po univerzitetima u Srbiji rade blokaderi bilo bi kršenje i zakona SAD o svojini, kao i kršenje univerzitetskih pravila za studente – a za one koji slabo čitaju postoji i univerzitetska policija – čiji su domen i način rada definisani odlukom UO.“	../to_annotate_q.tsv	OBJ	Aleksa
pol-749400-029	politika	749400	kolumna	pol-drustvo	pogledi	29	37	https://www.politika.rs/sr/clanak/749400/haos-na-srpskim-univerzitetima-apsolutno-je-nezamisliv-u-americi	Ustav SAD garantuje apsolutnu slobodu govora i pisanja svakom državljaninu SAD (stranci nisu državljani).	Y	„Ustav SAD garantuje apsolutnu slobodu govora i pisanja svakom državljaninu SAD (stranci nisu državljani).“	../to_annotate_q.tsv	OBJ	Aleksa
pol-749400-030	politika	749400	kolumna	pol-drustvo	pogledi	30	37	https://www.politika.rs/sr/clanak/749400/haos-na-srpskim-univerzitetima-apsolutno-je-nezamisliv-u-americi	S druge strane, vlasnik bilo koje organizacije – uključujući UO za privatne, i državna vlast za državne univerzitete, propisuje šta, kad i kako i gde homo sapiens može da govori ili piše unutar – ili u kontekstu! – u našem slučaju univerziteta.	Y	„S druge strane, vlasnik bilo koje organizacije – uključujući UO za privatne, i državna vlast za državne univerzitete, propisuje šta, kad i kako i gde homo sapiens može da govori ili piše unutar – ili u kontekstu! – u našem slučaju univerziteta.“	../to_annotate_q.tsv	OBJ	Aleksa
