sentence_id	label	nedoumica	napomena	annotator
bli-60972962282-010	OBJ			Dimitrije
dan-473030740077-034	SUBJ			Dimitrije
bli-4501436039-004	OBJ			Dimitrije
n1i-378528-005	SUBJ			Dimitrije
dan-524955297269-002	SUBJ			Dimitrije
rts-6032694-008	OBJ			Dimitrije
pol-757014-055	OBJ			Dimitrije
n1i-818178-003	SUBJ			Dimitrije
n1i-286741-022	SUBJ			Dimitrije
n1i-803780-009	SUBJ			Dimitrije
bli-73198626059-000	OBJ			Dimitrije
bli-14602151867-001	SUBJ			Dimitrije
bli-13382985284-002	OBJ			Dimitrije
n1i-933448-015	SUBJ			Dimitrije
n1i-716415-016	OBJ			Dimitrije
vre-4969017-012	OBJ			Dimitrije
rts-5521199-039	SUBJ			Dimitrije
pol-783363-004	SUBJ			Dimitrije
n1i-596397-024	OBJ			Dimitrije
vre-4937332-003	SUBJ			Dimitrije
pol-770077-011	SUBJ			Dimitrije
vre-4973520-007	OBJ			Dimitrije
n1i-320280-015	SUBJ			Dimitrije
n1i-657783-029	SUBJ			Dimitrije
vre-4984755-011	OBJ			Dimitrije
dan-1034138882983-014	SUBJ			Dimitrije
pol-783648-005	SUBJ			Dimitrije
pol-781011-001	OBJ			Dimitrije
rts-5888434-003	SUBJ			Dimitrije
dan-616629800977-008	SUBJ			Dimitrije
n1i-660704-020	SUBJ			Dimitrije
vre-4994180-010	OBJ			Dimitrije
n1i-328638-013	SUBJ			Dimitrije
rts-5481808-007	OBJ			Dimitrije
n1i-376228-008	SUBJ			Dimitrije
vre-5004078-031	OBJ			Dimitrije
bli-50659446364-052	SUBJ			Dimitrije
pol-783592-002	OBJ			Dimitrije
rts-6006306-257	SUBJ			Dimitrije
rts-6036242-001	OBJ			Dimitrije
n1i-173382-004	OBJ			Dimitrije
n1i-580762-001	SUBJ			Dimitrije
vre-4922015-039	SUBJ			Dimitrije
vre-4912915-010	SUBJ			Dimitrije
vre-4930037-018	SUBJ			Dimitrije
rts-6036162-006	OBJ			Dimitrije
dan-52164773530-021	SUBJ			Dimitrije
vre-4946062-042	SUBJ			Dimitrije
bli-12250897430-021	SUBJ			Dimitrije
pol-768048-007	SUBJ			Dimitrije
rts-6033299-059	OBJ			Dimitrije
vre-4950725-005	OBJ			Dimitrije
rts-6030871-015	OBJ			Dimitrije
n1i-465919-024	SUBJ			Dimitrije
n1i-717253-034	SUBJ			Dimitrije
bli-8050207320-001	OBJ			Dimitrije
bli-7345015666-011	OBJ			Dimitrije
vre-4970392-010	SUBJ			Dimitrije
bli-51675881736-037	OBJ			Dimitrije
rts-6035767-009	OBJ			Dimitrije
vre-4918461-011	SUBJ			Dimitrije
n1i-413598-014	OBJ			Dimitrije
rts-5645158-018	OBJ			Dimitrije
pol-763223-052	OBJ			Dimitrije
dan-850853213181-024	SUBJ			Dimitrije
dan-762897715204-018	OBJ			Dimitrije
pol-759678-001	OBJ			Dimitrije
vre-5009398-006	SUBJ			Dimitrije
vre-4937773-004	SUBJ			Dimitrije
bli-44504394263-018	OBJ			Dimitrije
pol-766974-027	SUBJ			Dimitrije
bli-73740714019-026	OBJ			Dimitrije
n1i-568445-000	SUBJ			Dimitrije
vre-4965461-004	SUBJ			Dimitrije
bli-74184149100-000	OBJ			Dimitrije
vre-4933484-016	SUBJ			Dimitrije
pol-782624-006	OBJ			Dimitrije
dan-872698080602-008	SUBJ			Dimitrije
bli-63006732976-002	OBJ			Dimitrije
dan-41704243850-000	OBJ			Dimitrije
dan-1077299556444-012	SUBJ			Dimitrije
n1i-441823-052	SUBJ			Dimitrije
vre-4929355-016	SUBJ			Dimitrije
pol-772423-036	SUBJ			Dimitrije
pol-779333-001	OBJ			Dimitrije
n1i-531933-007	SUBJ			Dimitrije
vre-4916591-010	OBJ			Dimitrije
bli-3327590740-003	OBJ			Dimitrije
n1i-546031-014	SUBJ			Dimitrije
pol-765327-016	SUBJ			Dimitrije
dan-760585665622-026	SUBJ			Dimitrije
bli-56113552149-032	OBJ			Dimitrije
n1i-920465-006	SUBJ			Dimitrije
n1i-884250-033	SUBJ			Dimitrije
vre-5006296-011	SUBJ			Dimitrije
rts-5570266-017	SUBJ			Dimitrije
pol-783692-004	SUBJ			Dimitrije
vre-5005780-003	OBJ			Dimitrije
dan-451304427954-016	SUBJ			Dimitrije
vre-4994908-021	SUBJ			Dimitrije
vre-4932680-045	SUBJ			Dimitrije
n1i-425235-014	OBJ			Dimitrije
pol-767254-014	OBJ			Dimitrije
dan-960880264478-011	SUBJ			Dimitrije
rts-5893107-015	SUBJ			Dimitrije
