sentence_id	article_id	genre	topic	source	in_quote	text	label_Aleksa	nap_Aleksa	label_Anica	nap_Anica	label_Dimitrije	nap_Dimitrije	dogovoreno	pravilo
bli-10273523353-005	10273523353	vest	pol-drustvo	blic		Poruke stvarno deluju kao da dolaze od JKP "Putevi Srbije"	SUBJ		SUBJ		OBJ			
bli-14602151867-001	14602151867	vest	pol-drustvo	blic	Y	„Petković je ocenio da je Vidovdan trajno obeležio proces oblikovanja srpske nacionalne svesti, navodeći da Srbi ne bi preživeli brojna istorijska iskušenja da nije bilo tog praznika i ''vidovdanske etike''.“	OBJ		OBJ		SUBJ			
bli-20798595648-014	20798595648	kolumna	pol-drustvo	blic		Čak i kada ne postoji potpuno slaganje, razgovor otvara mogućnost za kompromis.	OBJ		OBJ	mozda se neko ne slaze s ovim?	SUBJ			
bli-36147663713-008	36147663713	vest	pol-drustvo	blic		Obično je to poslednji čin dugog niza nasilja, pretnji i nemoći.	SUBJ		SUBJ		OBJ			
bli-50659446364-052	50659446364	kolumna	pol-drustvo	blic		Suze majke, žene i dece podstakle su ga da odvrati svoju vojsku ali je zbog toga ubijen.	OBJ		OBJ		SUBJ			
bli-50940487061-008	50940487061	vest	pol-drustvo	blic		Situacija je još gora u PU Novi Sad 1, 2, i 3 u Bulevaru kralja Petra I, gde je prvi slobodan termin za zakazivanje za vađenje pasoša moguće naći od 12. avgusta.	OBJ		SUBJ		OBJ			
bli-55144293120-004	55144293120	vest	pol-drustvo	blic		Jutros u 8.45h kako javljaju Srbi sa graničnog prelaza Evzoni, bilo je gužve, ali su turisti pretežno u ranim jutarnjim časovima bez muke prolazili najprometniji granični prelaz između Grčke i Severne Makedonije.	SUBJ	Koji 'Srbi'? Više deluje da je ocena autora	OBJ		OBJ			
bli-69573754796-024	69573754796	kolumna	svet	blic		Nekada jedinstveni srpski narod Crne Gore, formalno se izjašnjavao kao nova nacija, ali su vremenom crnogorski i jugoslovenski identitet postali realnost, dok je srpstvo svedeno na folkor i jedno u Beogradu neverovatno, ali u Crnoj Gori fundamentalno, pitanje „hoće li nam izvanjci nešto određivati“.	OBJ		SUBJ		SUBJ			
dan-127370657318-029	127370657318	kolumna	pol-drustvo	danas		Tako se u Srbiji pobeđuje i čuva vlast.	OBJ		SUBJ		SUBJ			
dan-221656367654-018	221656367654	kolumna	pol-drustvo	danas	Y	„Bio bi to najbolji intervju koji je NDH1 ikada snimila.“	OBJ		OBJ		SUBJ			
dan-223022264918-008	223022264918	kolumna	pol-drustvo	danas	Y	„Uostalom, kakvo je to ime za stranku, EPP?“	OBJ		SUBJ		SUBJ			
dan-273156172461-011	273156172461	kolumna	pol-drustvo	danas		Takođe, gledaoci će moći da vide kako Miša Bačulov šeta Las Vegasom dva dana pre nego što je Kolumbo otkrio Ameriku.	OBJ	Smešno,ali objektivno	SUBJ		SUBJ			
dan-342624403880-003	342624403880	kolumna	hronika	danas		Događa se ubistvo u kojem je učestvovalo više lica, ispaljeno je desetak hitaca, ko zna iz koliko komada oružja i kojih kalibara.	SUBJ		OBJ		OBJ			
dan-353908777753-008	353908777753	kolumna	pol-drustvo	danas		Za uspeh ove komplikovane operacije bilo je dovoljno da se uhvati (vodene) puške i njome pripuca na kola.	OBJ		SUBJ		SUBJ			
dan-359298452358-004	359298452358	kolumna	pol-drustvo	danas	Y	„Niko me nije slušao, išli su da se kupaju u Dubai, Marijanu sam lepo rekla drži se domaće stoke, šta si navalio, kamile pa kamile, a on ne sluša.“	OBJ		OBJ		SUBJ			
dan-371249651231-043	371249651231	kolumna	pol-drustvo	danas		U tim slučajevima, reforma nije bila moguća.	OBJ		SUBJ	SUBJ jer mozda se neko ne bi slozio	SUBJ			
dan-390414344818-024	390414344818	kolumna	pol-drustvo	danas		Zašto se onda lekari ne bune?	OBJ		SUBJ		SUBJ			
dan-393301420124-013	393301420124	kolumna	pol-drustvo	danas		„U jebem ti…“, mumlam i teturam se do posude sa svetom vodicom, da se umijem.	SUBJ		SUBJ		OBJ			
dan-451304427954-016	451304427954	vest	sport	danas		– Sigurno Sale (trener Obradović prim. aut.) zna zašto mu ne daje minute u Evroligi, iako se meni čini da to zaslužuje.	OBJ		SUBJ		SUBJ			
dan-473030740077-034	473030740077	vest	pol-drustvo	danas		Vlasnica je diplome master hemičara, a studirala je, po navodima dela zaposlenih, 16 godina.	OBJ		OBJ		SUBJ			
dan-524955297269-002	524955297269	vest	pol-drustvo	danas		Prilikom provere utvrđeno je da nemaju prijavljen boravak na teritoriji Srbije.	OBJ		OBJ		SUBJ			
