sentence_id	source	article_id	genre	topic	category	sent_idx	n_clean	url	text	in_quote	text_marked
dan-393301420124-007	danas	393301420124	kolumna	pol-drustvo	kolumna	7	25	https://www.danas.rs/kolumna/marko-vidojkovic/djubre-i-pare-za-hram/	I dalje je veliki i beo.		I dalje je veliki i beo.
dan-393301420124-008	danas	393301420124	kolumna	pol-drustvo	kolumna	8	25	https://www.danas.rs/kolumna/marko-vidojkovic/djubre-i-pare-za-hram/	Ponekad mi je muka koliko para je bačeno na to sranje, ali to sranje istovremeno i donosi brdo para, pa sam, kad se sve sabere, zadovoljan prizorom.		Ponekad mi je muka koliko para je bačeno na to sranje, ali to sranje istovremeno i donosi brdo para, pa sam, kad se sve sabere, zadovoljan prizorom.
dan-393301420124-009	danas	393301420124	kolumna	pol-drustvo	kolumna	9	25	https://www.danas.rs/kolumna/marko-vidojkovic/djubre-i-pare-za-hram/	„Gde je Buđavi“, pitam popa koji mi ispred hrama ljubi ruku.		„Gde je Buđavi“, pitam popa koji mi ispred hrama ljubi ruku.
dan-393301420124-010	danas	393301420124	kolumna	pol-drustvo	kolumna	10	25	https://www.danas.rs/kolumna/marko-vidojkovic/djubre-i-pare-za-hram/	„Njegova svetost je morala hitno do manastira Rakovica, da obavi službu za…“, lupeta, sav se zarumenevši.		„Njegova svetost je morala hitno do manastira Rakovica, da obavi službu za…“, lupeta, sav se zarumenevši.
dan-393301420124-011	danas	393301420124	kolumna	pol-drustvo	kolumna	11	25	https://www.danas.rs/kolumna/marko-vidojkovic/djubre-i-pare-za-hram/	Plaši se da mu opet ne iščupam pola brade.	Y	„Plaši se da mu opet ne iščupam pola brade.“
dan-393301420124-012	danas	393301420124	kolumna	pol-drustvo	kolumna	12	25	https://www.danas.rs/kolumna/marko-vidojkovic/djubre-i-pare-za-hram/	„Da, da, izvolite, gospodine Dragiša“, propušta me da uđem, a meni se, čim sam prešao prag hrama, zavrtelo u glavi.		„Da, da, izvolite, gospodine Dragiša“, propušta me da uđem, a meni se, čim sam prešao prag hrama, zavrtelo u glavi.
dan-393301420124-013	danas	393301420124	kolumna	pol-drustvo	kolumna	13	25	https://www.danas.rs/kolumna/marko-vidojkovic/djubre-i-pare-za-hram/	„U jebem ti…“, mumlam i teturam se do posude sa svetom vodicom, da se umijem.		„U jebem ti…“, mumlam i teturam se do posude sa svetom vodicom, da se umijem.
dan-393301420124-014	danas	393301420124	kolumna	pol-drustvo	kolumna	14	25	https://www.danas.rs/kolumna/marko-vidojkovic/djubre-i-pare-za-hram/	„Gospodine Dragiša, da li je sve u redu?“, šatro je zabrinut pop, a najradije bi mi pevao opelo.		„Gospodine Dragiša, da li je sve u redu?“, šatro je zabrinut pop, a najradije bi mi pevao opelo.
dan-861209451198-012	danas	861209451198	kolumna	pol-drustvo	kolumna	12	59	https://www.danas.rs/kolumna/aleksej-kisjuhas/najnovija-levica/	Dok se Stara levica još uvek fokusirala na industrijski rad, klasnu borbu i državnu kontrolu nad privredom, Nova levica je proširila svoja interesovanja i na građanska prava, feminizam, antikolonijalizam, antiratno delovanje, lične slobode i kritiku kulture konzumerizma.		Dok se Stara levica još uvek fokusirala na industrijski rad, klasnu borbu i državnu kontrolu nad privredom, Nova levica je proširila svoja interesovanja i na građanska prava, feminizam, antikolonijalizam, antiratno delovanje, lične slobode i kritiku kulture konzumerizma.
dan-861209451198-013	danas	861209451198	kolumna	pol-drustvo	kolumna	13	59	https://www.danas.rs/kolumna/aleksej-kisjuhas/najnovija-levica/	I, umesto na radnika u plavom kombinezonu, fokusirala se na – studente i mlade uopšte.		I, umesto na radnika u plavom kombinezonu, fokusirala se na – studente i mlade uopšte.
dan-861209451198-014	danas	861209451198	kolumna	pol-drustvo	kolumna	14	59	https://www.danas.rs/kolumna/aleksej-kisjuhas/najnovija-levica/	Nova levica i studentski pokret su neodvojivi – Nova levica kao kritička teorijska paradigma ne bi postojala bez studentskih pokreta, a i studenti su bili pod zamašnim uticajem ovih ideja.		Nova levica i studentski pokret su neodvojivi – Nova levica kao kritička teorijska paradigma ne bi postojala bez studentskih pokreta, a i studenti su bili pod zamašnim uticajem ovih ideja.
dan-861209451198-015	danas	861209451198	kolumna	pol-drustvo	kolumna	15	59	https://www.danas.rs/kolumna/aleksej-kisjuhas/najnovija-levica/	Lideri Nove levice mahom su bili univerzitetski profesori i/ili aktivisti: Herbert Markuze (SAD), Rejmond Vilijams (Velika Britanija), Žan-Pol Sartr i Danijel Kon-Bendit (Francuska), Jirgen Habermas i Rudi Dučke (Nemačka) itd, iako je u pitanju bila neformalna mreža, a ne čvrsta organizacija intelektualaca.		Lideri Nove levice mahom su bili univerzitetski profesori i/ili aktivisti: Herbert Markuze (SAD), Rejmond Vilijams (Velika Britanija), Žan-Pol Sartr i Danijel Kon-Bendit (Francuska), Jirgen Habermas i Rudi Dučke (Nemačka) itd, iako je u pitanju bila neformalna mreža, a ne čvrsta organizacija intelektualaca.
dan-861209451198-016	danas	861209451198	kolumna	pol-drustvo	kolumna	16	59	https://www.danas.rs/kolumna/aleksej-kisjuhas/najnovija-levica/	Ipak, oni i drugi postali su svojevrsni „gurui“ studentskog pokreta ili „neocrvene revolucije“.		Ipak, oni i drugi postali su svojevrsni „gurui“ studentskog pokreta ili „neocrvene revolucije“.
dan-861209451198-017	danas	861209451198	kolumna	pol-drustvo	kolumna	17	59	https://www.danas.rs/kolumna/aleksej-kisjuhas/najnovija-levica/	Na primer, Markuzeova knjiga „Čovek jedne dimenzije“ (1964) oštro je kritikovala razvijena industrijska društva i ponašanje tzv. „pristojnog čoveka“, inspirišući mnoge studente.		Na primer, Markuzeova knjiga „Čovek jedne dimenzije“ (1964) oštro je kritikovala razvijena industrijska društva i ponašanje tzv. „pristojnog čoveka“, inspirišući mnoge studente.
dan-861209451198-018	danas	861209451198	kolumna	pol-drustvo	kolumna	18	59	https://www.danas.rs/kolumna/aleksej-kisjuhas/najnovija-levica/	Vođa Pokreta za slobodu govora na Berkliju, Mario Savio, bio je čuven po svom govoru u kojem poziva na otpor prema „mašineriji“ institucionalne moći.		Vođa Pokreta za slobodu govora na Berkliju, Mario Savio, bio je čuven po svom govoru u kojem poziva na otpor prema „mašineriji“ institucionalne moći.
dan-861209451198-019	danas	861209451198	kolumna	pol-drustvo	kolumna	19	59	https://www.danas.rs/kolumna/aleksej-kisjuhas/najnovija-levica/	Mnogi drugi mislioci i aktivisti pozivali su na radničko i studentsko samoupravljanje, odnosno direktnu demokratiju.		Mnogi drugi mislioci i aktivisti pozivali su na radničko i studentsko samoupravljanje, odnosno direktnu demokratiju.
dan-1077299556444-011	danas	1077299556444	kolumna	kultura	kolumna	11	34	https://www.danas.rs/kolumna/dusko-bogdanovic/dekodiranje-diktatora/	O svemu, zapravo, o čemu nije imao ni mrvicu elementarnog znanja, a nekmoli neophodnog obrazovanja.		O svemu, zapravo, o čemu nije imao ni mrvicu elementarnog znanja, a nekmoli neophodnog obrazovanja.
dan-1077299556444-012	danas	1077299556444	kolumna	kultura	kolumna	12	34	https://www.danas.rs/kolumna/dusko-bogdanovic/dekodiranje-diktatora/	Takva vladavina je zahtevala apsolutnu poslušnost i okruženost isključivo klimoglavacima koji su neprestano potvrđivali sve njegove odluke i tako mu, u svakoj prilici, pumpali eventualno poljuljano samopouzdanje.		Takva vladavina je zahtevala apsolutnu poslušnost i okruženost isključivo klimoglavacima koji su neprestano potvrđivali sve njegove odluke i tako mu, u svakoj prilici, pumpali eventualno poljuljano samopouzdanje.
dan-1077299556444-013	danas	1077299556444	kolumna	kultura	kolumna	13	34	https://www.danas.rs/kolumna/dusko-bogdanovic/dekodiranje-diktatora/	Manijakalno je prezirao svaku reč drugačijeg mišljenja ili alternativne političke akcije.		Manijakalno je prezirao svaku reč drugačijeg mišljenja ili alternativne političke akcije.
dan-1077299556444-014	danas	1077299556444	kolumna	kultura	kolumna	14	34	https://www.danas.rs/kolumna/dusko-bogdanovic/dekodiranje-diktatora/	Bez imalo dileme tome se na drastično surov način svetio eliminacijom sa političke, pa i životne pozornice.		Bez imalo dileme tome se na drastično surov način svetio eliminacijom sa političke, pa i životne pozornice.
dan-1077299556444-015	danas	1077299556444	kolumna	kultura	kolumna	15	34	https://www.danas.rs/kolumna/dusko-bogdanovic/dekodiranje-diktatora/	Čak i najstarijim i godinama najodanijim saradnicima, ako bi u njihovom ponašanju prepoznavao makar trunčicu samostalnog ponašanja.		Čak i najstarijim i godinama najodanijim saradnicima, ako bi u njihovom ponašanju prepoznavao makar trunčicu samostalnog ponašanja.
dan-1077299556444-016	danas	1077299556444	kolumna	kultura	kolumna	16	34	https://www.danas.rs/kolumna/dusko-bogdanovic/dekodiranje-diktatora/	Hitler je sebe video kao čoveka sa misijom.		Hitler je sebe video kao čoveka sa misijom.
dan-1077299556444-017	danas	1077299556444	kolumna	kultura	kolumna	17	34	https://www.danas.rs/kolumna/dusko-bogdanovic/dekodiranje-diktatora/	„Veliki Nemac“, iako je i po rođenju i po državljanstvu bio Austrijanac!		„Veliki Nemac“, iako je i po rođenju i po državljanstvu bio Austrijanac!
dan-1077299556444-018	danas	1077299556444	kolumna	kultura	kolumna	18	34	https://www.danas.rs/kolumna/dusko-bogdanovic/dekodiranje-diktatora/	Ispod složene mreže moći, obmane i lojalnosti koja je definisala tu vladavinu, ležale su dobro skrivene tajne koje su, zapravo, oblikovale Hitlerovu despotsku vlast.		Ispod složene mreže moći, obmane i lojalnosti koja je definisala tu vladavinu, ležale su dobro skrivene tajne koje su, zapravo, oblikovale Hitlerovu despotsku vlast.
dan-616629800977-004	danas	616629800977	kolumna	svet	kolumna	4	29	https://www.danas.rs/kolumna/pavle-simjanovic/vidimo-se-u-nekom-drugom-slobodnom-filmu/	Moglo se krenuti putem, pa nekako hvatati retke minibuseve, ali zabavnije je bilo presecati kroz priobalsku pustinju.		Moglo se krenuti putem, pa nekako hvatati retke minibuseve, ali zabavnije je bilo presecati kroz priobalsku pustinju.
dan-616629800977-005	danas	616629800977	kolumna	svet	kolumna	5	29	https://www.danas.rs/kolumna/pavle-simjanovic/vidimo-se-u-nekom-drugom-slobodnom-filmu/	Zatim bi vozač prolazećeg izubijanog automobila obavezno zastajao i insistirao da vas poveze (kojom prilikom biste u kolima prošli standardni „Tito, Jugoslavija“ tematski opseg).		Zatim bi vozač prolazećeg izubijanog automobila obavezno zastajao i insistirao da vas poveze (kojom prilikom biste u kolima prošli standardni „Tito, Jugoslavija“ tematski opseg).
dan-616629800977-006	danas	616629800977	kolumna	svet	kolumna	6	29	https://www.danas.rs/kolumna/pavle-simjanovic/vidimo-se-u-nekom-drugom-slobodnom-filmu/	A taj Šafar je nešto nalik pet puta glomaznijem Jazu, s tim što za razliku od izmučenog budvanskog rođaka služi (tada je barem tako bilo) isključivo lokalcima, žiteljima industrijskog grada Sfaksa.		A taj Šafar je nešto nalik pet puta glomaznijem Jazu, s tim što za razliku od izmučenog budvanskog rođaka služi (tada je barem tako bilo) isključivo lokalcima, žiteljima industrijskog grada Sfaksa.
dan-616629800977-007	danas	616629800977	kolumna	svet	kolumna	7	29	https://www.danas.rs/kolumna/pavle-simjanovic/vidimo-se-u-nekom-drugom-slobodnom-filmu/	Posledično, na kilometrima dugačkoj plaži ste jedini, da kažemo, Evropljanin među hiljadama Tunižana.		Posledično, na kilometrima dugačkoj plaži ste jedini, da kažemo, Evropljanin među hiljadama Tunižana.
dan-616629800977-008	danas	616629800977	kolumna	svet	kolumna	8	29	https://www.danas.rs/kolumna/pavle-simjanovic/vidimo-se-u-nekom-drugom-slobodnom-filmu/	Što je lepo, naročito ako ne podnosite turizam kao koncept, a još naročitije ako ne pominjete da vam se baba zvala Hagara Kajon.		Što je lepo, naročito ako ne podnosite turizam kao koncept, a još naročitije ako ne pominjete da vam se baba zvala Hagara Kajon.
dan-616629800977-009	danas	616629800977	kolumna	svet	kolumna	9	29	https://www.danas.rs/kolumna/pavle-simjanovic/vidimo-se-u-nekom-drugom-slobodnom-filmu/	Kako god, u arapskim zemljama sam uvek osećao da se, u nedostatku akademskije reči, nekako kapiramo.		Kako god, u arapskim zemljama sam uvek osećao da se, u nedostatku akademskije reči, nekako kapiramo.
dan-616629800977-010	danas	616629800977	kolumna	svet	kolumna	10	29	https://www.danas.rs/kolumna/pavle-simjanovic/vidimo-se-u-nekom-drugom-slobodnom-filmu/	Sad, iako u redakciji Danasa – gde sam, naravno, honorarni saradnik – teško da ima primerenije osobe za bavljenje ovim što sledi, osećam potrebu da i unutar teksta naglasim da su stavovi isključivo moji.		Sad, iako u redakciji Danasa – gde sam, naravno, honorarni saradnik – teško da ima primerenije osobe za bavljenje ovim što sledi, osećam potrebu da i unutar teksta naglasim da su stavovi isključivo moji.
dan-616629800977-011	danas	616629800977	kolumna	svet	kolumna	11	29	https://www.danas.rs/kolumna/pavle-simjanovic/vidimo-se-u-nekom-drugom-slobodnom-filmu/	Rat u Gazi je ovih dana dobio još jedno, intelektualno bojište, i to ispred beogradskog Doma omladine gde se imao održati Festival izraelskog filma.		Rat u Gazi je ovih dana dobio još jedno, intelektualno bojište, i to ispred beogradskog Doma omladine gde se imao održati Festival izraelskog filma.
dan-836641463989-012	danas	836641463989	kolumna	pol-drustvo	kolumna	12	55	https://www.danas.rs/kolumna/dusko-bogdanovic/letnje-seme-2/	Imao sam tih godina rukovodioce koji su razumeli moje letnje ludorije.		Imao sam tih godina rukovodioce koji su razumeli moje letnje ludorije.
dan-836641463989-013	danas	836641463989	kolumna	pol-drustvo	kolumna	13	55	https://www.danas.rs/kolumna/dusko-bogdanovic/letnje-seme-2/	Neke, sa razlogom, više nisam ponavljao.		Neke, sa razlogom, više nisam ponavljao.
dan-836641463989-014	danas	836641463989	kolumna	pol-drustvo	kolumna	14	55	https://www.danas.rs/kolumna/dusko-bogdanovic/letnje-seme-2/	Masovni redakcijski godišnji odmori su bili prilika da mlađi novinari – koji obično nisu imali pravu šansu za dokazivanje – pokažu šta znaju.		Masovni redakcijski godišnji odmori su bili prilika da mlađi novinari – koji obično nisu imali pravu šansu za dokazivanje – pokažu šta znaju.
dan-836641463989-015	danas	836641463989	kolumna	pol-drustvo	kolumna	15	55	https://www.danas.rs/kolumna/dusko-bogdanovic/letnje-seme-2/	Svakako ga možemo definisati, samo dosadno nije.		Svakako ga možemo definisati, samo dosadno nije.
dan-836641463989-016	danas	836641463989	kolumna	pol-drustvo	kolumna	16	55	https://www.danas.rs/kolumna/dusko-bogdanovic/letnje-seme-2/	Otvorila nam se kolektivna utroba.		Otvorila nam se kolektivna utroba.
