sentence_id	source	article_id	genre	topic	category	sent_idx	n_clean	url	text
n1i-763930-027	n1info	763930	kolumna	svet	Kolumne/ljubodrag-stojadinovic	27	48	https://n1info.rs/kolumne/ljubodrag-stojadinovic/vatromet-u-mocvari/	To je neraskidiva veza između gurua stvorenog na brzinu i od trošnog materijala i supstance bez čula.
n1i-763930-028	n1info	763930	kolumna	svet	Kolumne/ljubodrag-stojadinovic	28	48	https://n1info.rs/kolumne/ljubodrag-stojadinovic/vatromet-u-mocvari/	Više puta je rekao da je bolji od svih.
n1i-763930-029	n1info	763930	kolumna	svet	Kolumne/ljubodrag-stojadinovic	29	48	https://n1info.rs/kolumne/ljubodrag-stojadinovic/vatromet-u-mocvari/	Šta su rektor Đokić i Bodiroga prema njemu?
n1i-763930-030	n1info	763930	kolumna	svet	Kolumne/ljubodrag-stojadinovic	30	48	https://n1info.rs/kolumne/ljubodrag-stojadinovic/vatromet-u-mocvari/	Ne zna odakle mu Bodiroga u pameti i zašto se merio sa ljudima čije su mere nedostižne.
n1i-763930-031	n1info	763930	kolumna	svet	Kolumne/ljubodrag-stojadinovic	31	48	https://n1info.rs/kolumne/ljubodrag-stojadinovic/vatromet-u-mocvari/	Kako je Vladan Petrov iznenada postao Ajnšajn?
n1i-763930-032	n1info	763930	kolumna	svet	Kolumne/ljubodrag-stojadinovic	32	48	https://n1info.rs/kolumne/ljubodrag-stojadinovic/vatromet-u-mocvari/	Lično ga je proizveo u genija.
n1i-763930-033	n1info	763930	kolumna	svet	Kolumne/ljubodrag-stojadinovic	33	48	https://n1info.rs/kolumne/ljubodrag-stojadinovic/vatromet-u-mocvari/	Zna li uopšte dahija ko je Ajnštajn i zašto je Petrova, po sopstvenoj teoriji reletiviteta, proizveo u čudaka koji otkriva tajne vasione.
n1i-763930-034	n1info	763930	kolumna	svet	Kolumne/ljubodrag-stojadinovic	34	48	https://n1info.rs/kolumne/ljubodrag-stojadinovic/vatromet-u-mocvari/	On veruje u lojaliste, posebnu koloniju koja je formirana na tragu Hirošime u njegovoj glavi.
n1i-928873-038	n1info	928873	kolumna	svet	Kolumne/ljubodrag-stojadinovic	38	50	https://n1info.rs/kolumne/ljubodrag-stojadinovic/kraj-evolucije-jelene-milic/	Očekivala je da se Pupovac odrekne ideje o tome da mladi u Srbiji lete, jer to ugrožava njenog viteza, osetljivog na nepoznate objekte.
n1i-928873-039	n1info	928873	kolumna	svet	Kolumne/ljubodrag-stojadinovic	39	50	https://n1info.rs/kolumne/ljubodrag-stojadinovic/kraj-evolucije-jelene-milic/	Let ka svetlosti rasteruje tamu u kojoj caruje sablast, i to se nije moglo podneti.
