sentence_id	source	article_id	genre	topic	category	sent_idx	n_clean	url	text
rts-5560475-007	rts	5560475	kolumna	kultura	Smatracnica	7	37	https://www.rts.rs/vesti/smatracnica/5560475/secanja-u-slici--price-o-poginulima-nestalima-i-onima-koji-su-ostali-iza-njih.html	Na njihovim licima je senka, beleg koji nose sa sobom, gde god bili i šta god radili.
rts-5560475-008	rts	5560475	kolumna	kultura	Smatracnica	8	37	https://www.rts.rs/vesti/smatracnica/5560475/secanja-u-slici--price-o-poginulima-nestalima-i-onima-koji-su-ostali-iza-njih.html	Njihove oči su dublje i mračnije od onih koje nisu spoznale takvu muku.
rts-5560475-009	rts	5560475	kolumna	kultura	Smatracnica	9	37	https://www.rts.rs/vesti/smatracnica/5560475/secanja-u-slici--price-o-poginulima-nestalima-i-onima-koji-su-ostali-iza-njih.html	Naizgled mirni, dostojanstveno nose oreol bola, ali onome ko ih bolje pogleda, jasno je da se u svakom njihovom pokretu nazire nemir, davno utišana, ali još živa nada i iščekivanje koje ubija.
rts-5560475-010	rts	5560475	kolumna	kultura	Smatracnica	10	37	https://www.rts.rs/vesti/smatracnica/5560475/secanja-u-slici--price-o-poginulima-nestalima-i-onima-koji-su-ostali-iza-njih.html	Njihov najveći strah, a ujedno i najveća nada staju u jedan poziv, plavi koverat, mejl.
rts-5560475-011	rts	5560475	kolumna	kultura	Smatracnica	11	37	https://www.rts.rs/vesti/smatracnica/5560475/secanja-u-slici--price-o-poginulima-nestalima-i-onima-koji-su-ostali-iza-njih.html	Čekaju uzalud već više od 30 godina informacije koje bi donele neizmernu tugu, ali i konačno smirenje.
rts-5560475-012	rts	5560475	kolumna	kultura	Smatracnica	12	37	https://www.rts.rs/vesti/smatracnica/5560475/secanja-u-slici--price-o-poginulima-nestalima-i-onima-koji-su-ostali-iza-njih.html	Čekaju potvrdu smrti i podatak gde počivaju njihovi najbliži.
rts-5560475-013	rts	5560475	kolumna	kultura	Smatracnica	13	37	https://www.rts.rs/vesti/smatracnica/5560475/secanja-u-slici--price-o-poginulima-nestalima-i-onima-koji-su-ostali-iza-njih.html	Otišli su nespokojni i željni, a možda i srećni, verujući da će u večnosti ponovo biti zajedno.
rts-5560475-014	rts	5560475	kolumna	kultura	Smatracnica	14	37	https://www.rts.rs/vesti/smatracnica/5560475/secanja-u-slici--price-o-poginulima-nestalima-i-onima-koji-su-ostali-iza-njih.html	Godinama sam pratila rad njihovih udruženja, konferencije za medije, parastose poginulima.
rts-5512009-003	rts	5512009	kolumna	ekonomija	Smatracnica	3	15	https://www.rts.rs/vesti/smatracnica/5512009/ranko-bugarski-profesor-in-memoriam.html	Imala sam priliku da ga kasnije, izveštavajući iz Saveta Evrope, sretnem i u Strazburu, gde je kao ekspert sarađivao na Evropskoj povelji o regionalnim i manjinskim jezicima.
rts-5512009-004	rts	5512009	kolumna	ekonomija	Smatracnica	4	15	https://www.rts.rs/vesti/smatracnica/5512009/ranko-bugarski-profesor-in-memoriam.html	Svojevremeno mi je divna koleginica i prijateljica Kaća Rasulić priznala da se, dok je radila na doktorskoj disertaciji, još kao asistent na fakultetu, trudila da ga eskivira po hodnicima, jer bi joj svaki put bilo neprijatno da ga sretne, a da još nije završila posao.
rts-5512009-005	rts	5512009	kolumna	ekonomija	Smatracnica	5	15	https://www.rts.rs/vesti/smatracnica/5512009/ranko-bugarski-profesor-in-memoriam.html	Zahvaljujući kružnim hodnicima nove zgrade Filološkog, gde je naša katedra, to joj je i uspevalo.
rts-5512009-006	rts	5512009	kolumna	ekonomija	Smatracnica	6	15	https://www.rts.rs/vesti/smatracnica/5512009/ranko-bugarski-profesor-in-memoriam.html	Sličan je bio i naš poslednji susret.
rts-5512009-007	rts	5512009	kolumna	ekonomija	Smatracnica	7	15	https://www.rts.rs/vesti/smatracnica/5512009/ranko-bugarski-profesor-in-memoriam.html	Iako već odavno u penziji, svakoga dana je dolazio u svoj kabinet da radi, a srela sam ga dok je čekao trolu.
rts-5512009-008	rts	5512009	kolumna	ekonomija	Smatracnica	8	15	https://www.rts.rs/vesti/smatracnica/5512009/ranko-bugarski-profesor-in-memoriam.html	"Već posle ""dobar dan"" počela sam da se pravdam, iako me nije pitao ništa."
rts-5512009-009	rts	5512009	kolumna	ekonomija	Smatracnica	9	15	https://www.rts.rs/vesti/smatracnica/5512009/ranko-bugarski-profesor-in-memoriam.html	"""Ja sam mislio da ste vi odavno doktorirali,"" samo je odgovorio, što me je, čini mi se, pokopalo još dublje."
rts-5512009-010	rts	5512009	kolumna	ekonomija	Smatracnica	10	15	https://www.rts.rs/vesti/smatracnica/5512009/ranko-bugarski-profesor-in-memoriam.html	"Na opasku da sam malo i demotivisana jer, eto, pogledajte ko je sve danas ""doktor"", kao iz topa je rekao: ""Ajte molim vas, kakav vam je to izgovor!"
rts-5893107-022	rts	5893107	kolumna	hronika	Smatracnica	22	47	https://www.rts.rs/vesti/smatracnica/5893107/staracki-domovi-barajevo-poskupljenje.html	Bili su jaki, nezavisni, potrebni!
rts-5893107-023	rts	5893107	kolumna	hronika	Smatracnica	23	47	https://www.rts.rs/vesti/smatracnica/5893107/staracki-domovi-barajevo-poskupljenje.html	Al' brzo prođe život, dok lupiš dlanom o dlan osediš, ostariš, oboliš.
rts-5893107-024	rts	5893107	kolumna	hronika	Smatracnica	24	47	https://www.rts.rs/vesti/smatracnica/5893107/staracki-domovi-barajevo-poskupljenje.html	I postaneš nepotreban i nevidljiv!
rts-5893107-025	rts	5893107	kolumna	hronika	Smatracnica	25	47	https://www.rts.rs/vesti/smatracnica/5893107/staracki-domovi-barajevo-poskupljenje.html	Slaba je, al' ipak nekakva uteha što su protiv nekoliko odgovornih za požar i smrt ovih ljudi podignute optužnice.
rts-5893107-026	rts	5893107	kolumna	hronika	Smatracnica	26	47	https://www.rts.rs/vesti/smatracnica/5893107/staracki-domovi-barajevo-poskupljenje.html	Suđenje počinje danas i pred lice pravde trebalo bi da izađu oni čija je obaveza bila da brinu, da se staraju i da preduprede svaku nevolju.
rts-5893107-027	rts	5893107	kolumna	hronika	Smatracnica	27	47	https://www.rts.rs/vesti/smatracnica/5893107/staracki-domovi-barajevo-poskupljenje.html	"Oni će pred sud, tako i treba, ali pitam se ko će i da li će ikad utvrditi odgovornost onih koji ""nisu znali"" šta se dešava na kraju jednog blatnjavog barajevskog sokaka."
rts-5893107-028	rts	5893107	kolumna	hronika	Smatracnica	28	47	https://www.rts.rs/vesti/smatracnica/5893107/staracki-domovi-barajevo-poskupljenje.html	Pitam se i grize li savest članove porodica koji su u toj neuslovnoj kući ostavili svoje očeve, majke, sestre, braću...
rts-5893107-029	rts	5893107	kolumna	hronika	Smatracnica	29	47	https://www.rts.rs/vesti/smatracnica/5893107/staracki-domovi-barajevo-poskupljenje.html	I shvatam ako sad, dok ovo čitaju, govore da je lako suditi drugome!
rts-5570266-004	rts	5570266	kolumna	svet	Smatracnica	4	31	https://www.rts.rs/vesti/smatracnica/5570266/sveti-luka-ili-noc-vestica---jos-jedna-uvezena-dilema.html	"Drugi su poruku dočekali ""na nož""."
rts-5570266-005	rts	5570266	kolumna	svet	Smatracnica	5	31	https://www.rts.rs/vesti/smatracnica/5570266/sveti-luka-ili-noc-vestica---jos-jedna-uvezena-dilema.html	Zašto bismo deci zabranjivali da se maskiraju, zabavljaju i rade ono što i njihovi vršnjaci širom sveta, pitali su ogorčeno.
rts-5570266-006	rts	5570266	kolumna	svet	Smatracnica	6	31	https://www.rts.rs/vesti/smatracnica/5570266/sveti-luka-ili-noc-vestica---jos-jedna-uvezena-dilema.html	Šta je loše u toj bezazlenoj zabavi u kojoj deca uživaju?
rts-5570266-007	rts	5570266	kolumna	svet	Smatracnica	7	31	https://www.rts.rs/vesti/smatracnica/5570266/sveti-luka-ili-noc-vestica---jos-jedna-uvezena-dilema.html	Hoće li kostim ili malo šminke ugroziti temelje pravoslavlja?
rts-5570266-008	rts	5570266	kolumna	svet	Smatracnica	8	31	https://www.rts.rs/vesti/smatracnica/5570266/sveti-luka-ili-noc-vestica---jos-jedna-uvezena-dilema.html	Treći su ćutali i pomalo zbunjeno trljali čelo.
rts-5570266-009	rts	5570266	kolumna	svet	Smatracnica	9	31	https://www.rts.rs/vesti/smatracnica/5570266/sveti-luka-ili-noc-vestica---jos-jedna-uvezena-dilema.html	Šta sad da rade sa kostimom koji su već kupili i kako da objasne detetu da nema ništa od izlaska na maskenbal u lokalnom kafiću, pitali su se dok su za slavskim stolom kod kumova proslavljali Svetog Luku.
rts-5570266-010	rts	5570266	kolumna	svet	Smatracnica	10	31	https://www.rts.rs/vesti/smatracnica/5570266/sveti-luka-ili-noc-vestica---jos-jedna-uvezena-dilema.html	Roditeljske dileme me ne muče, a iskreno, ne spadam ni u jednu od ove tri grupe, kada je stav prema Noći veštica u pitanju.
rts-5570266-011	rts	5570266	kolumna	svet	Smatracnica	11	31	https://www.rts.rs/vesti/smatracnica/5570266/sveti-luka-ili-noc-vestica---jos-jedna-uvezena-dilema.html	Rekla bih čak da je i njihova rasprava krenula u pogrešnom smeru, kao i obično kod nas.
rts-5548870-012	rts	5548870	kolumna	ekonomija	Smatracnica	12	55	https://www.rts.rs/vesti/smatracnica/5548870/putovanje-uzbekistan-avion-rat-iran-.html	Obaveštava putnike da ne može da ih doveze do krajnje destinacije, zato što je Iran zatvorio svoj vazdušni prostor, preko kojeg na našoj maršruti, mora da se preleti.
rts-5548870-013	rts	5548870	kolumna	ekonomija	Smatracnica	13	55	https://www.rts.rs/vesti/smatracnica/5548870/putovanje-uzbekistan-avion-rat-iran-.html	Za alternativne rute, da se izbegne Iran, nema dovoljno goriva.
rts-5548870-014	rts	5548870	kolumna	ekonomija	Smatracnica	14	55	https://www.rts.rs/vesti/smatracnica/5548870/putovanje-uzbekistan-avion-rat-iran-.html	Šta i kako dalje, informacija nema.
rts-5548870-015	rts	5548870	kolumna	ekonomija	Smatracnica	15	55	https://www.rts.rs/vesti/smatracnica/5548870/putovanje-uzbekistan-avion-rat-iran-.html	Pomislih kako mi je baš Jerevan bio jedna od opcija za put.
rts-5548870-016	rts	5548870	kolumna	ekonomija	Smatracnica	16	55	https://www.rts.rs/vesti/smatracnica/5548870/putovanje-uzbekistan-avion-rat-iran-.html	Da li mi je suđeno da na kraju ipak tamo odem?
rts-5548870-017	rts	5548870	kolumna	ekonomija	Smatracnica	17	55	https://www.rts.rs/vesti/smatracnica/5548870/putovanje-uzbekistan-avion-rat-iran-.html	Putnici prilično ravnodušno prihvataju ovu promenu.
rts-5548870-018	rts	5548870	kolumna	ekonomija	Smatracnica	18	55	https://www.rts.rs/vesti/smatracnica/5548870/putovanje-uzbekistan-avion-rat-iran-.html	Tamo negde pozadi vidim da je pometnja.
