sentence_id	source	article_id	genre	topic	category	sent_idx	n_clean	url	text	ann	uncertainty	comment
n1i-286741-021	n1info	286741	kolumna	kultura	Kolumne/draza-petrovic	21	28	https://n1info.rs/kolumne/draza-petrovic/bulevari-vojvode-misica-i-corsokaci-ratka-mladica/	Biće da ti heroji vaskolikog radikstva nisu znali za onu Mišićevu misao o gubljenju obraza, pa su svima njima obrazi ostali u nekim bosanskim gudurama, ali su se pravili da ih i dalje imaju.	SUBJ		
n1i-434641-028	n1info	434641	kolumna	pol-drustvo	Kolumne/ljubodrag-stojadinovic	28	41	https://n1info.rs/kolumne/ljubodrag-stojadinovic/carapice-boje-lila/	Jovanov je pokazao kolektivno stanje duha u radikalsko-naprednjačkom svetonazoru, gde pored potpunog odsustva smisla za humor, nedostaje saznanje o takvom defektu.	SUBJ		
n1i-752256-011	n1info	752256	kolumna	pol-drustvo	Kolumne/draza-petrovic	11	32	https://n1info.rs/kolumne/draza-petrovic/kad-naprednjak-letuje-na-srednjem-prstu/	-Vi čuvate svoju kuću od pomahnitalih blokadera - rekao je on okupljenim članovima ispred opštinskog odbora SNS na Savskom vencu, pa nastavio čuveni govor koji će istorija pamtiti kao najbolji motivacioni govor da vam presedne letovanje: “Izvinjavam se što pojedini funkcioneri SNS nisu u odbrani stranke kao vi.	OBJ		
n1i-992196-004	n1info	992196	kolumna	pol-drustvo	Kolumne/biljana-stepanovic	4	39	https://n1info.rs/kolumne/biljana-stepanovic/sent-ridzis-i-politicki-brutalizam/	Prvoj, prosvetarima i poljoprivrednicima koji protestuju, gadljivo i besno je podviknuo da on na ucene i pritiske (kako te akcije doživljava) neće nikad pristati, nek se ne nadaju.	SUBJ	Y	"subj zbog ""gadljivo I besno"""
n1i-434641-026	n1info	434641	kolumna	pol-drustvo	Kolumne/ljubodrag-stojadinovic	26	41	https://n1info.rs/kolumne/ljubodrag-stojadinovic/carapice-boje-lila/	Oglasio se kao važna stavka koja ne želi da se sretne sa Piculom.			
rts-6034951-001	rts	6034951	vest	pol-drustvo	Politika	1	8	https://www.rts.rs/vesti/politika/6034951/ivica-dacic-srbija-bosna-hercegovina.html	Srbija polazi od svog prirodnog prava da štiti svoje nacionalne interese.	OBJ	Y	šta se smatra prirodnim pravom
rts-6034951-002	rts	6034951	vest	pol-drustvo	Politika	2	8	https://www.rts.rs/vesti/politika/6034951/ivica-dacic-srbija-bosna-hercegovina.html	To ruši priču o unapred smišljenom scenariju o krivici našeg naroda i države.	SUBJ	Y	
rts-6034951-003	rts	6034951	vest	pol-drustvo	Politika	3	8	https://www.rts.rs/vesti/politika/6034951/ivica-dacic-srbija-bosna-hercegovina.html	"Nije samo licemerno da Srbiju napadaju oni koji podržavaju ustaške zločine, mudžahedine i albanske teroriste, nego je krajnje ozbiljno da to postaje zvanični narativ i politika, naveo je Dačić."""	OBJ		
n1i-752256-008	n1info	752256	kolumna	pol-drustvo	Kolumne/draza-petrovic	8	32	https://n1info.rs/kolumne/draza-petrovic/kad-naprednjak-letuje-na-srednjem-prstu/	I bilo je izvesno da će se naprednjačka letovanja pretvoriti u čist srednji prst.	SUBJ		
n1i-865459-004	n1info	865459	kolumna	pol-drustvo	Kolumne/draza-petrovic	4	12	https://n1info.rs/kolumne/draza-petrovic/madjar-koji-je-lajao-av-av-av/	Isto to pitanje moglo bi se postaviti ovih dana onom pravom AV-u, kome je najbolji prijatelj, Mađar al’ nije Peter, u nedelju ostao bez vlasti, iako se zove Viktor, što na latinskom znači Pobednik.	SUBJ		
