podskup	n	osnovni model	osnovni model SUBJ	gemini-sr-few	gemini-sr-few SUBJ	chatgpt-en-zero	chatgpt-en-zero SUBJ
ceo korpus	3120	0.7092	0.6578	0.8619	0.8411	0.8316	0.7982
žanr = kolumna	1760	0.6422	0.7262	0.8156	0.8791	0.7754	0.8355
žanr = vest	1360	0.5803	0.2828	0.7338	0.523	0.7181	0.4926
tema = ekonomija	161	0.8174	0.7652	0.8174	0.7652	0.762	0.6733
tema = hronika	94	0.7275	0.6	0.793	0.6939	0.8101	0.7111
tema = kultura	351	0.6554	0.5189	0.7874	0.6965	0.7931	0.7035
tema = pol-drustvo	1992	0.7172	0.6848	0.8894	0.8808	0.8478	0.8298
tema = sport	118	0.614	0.5714	0.8039	0.789	0.8162	0.7835
tema = svet	404	0.6673	0.6006	0.8067	0.7751	0.7891	0.7368
izvor = blic	499	0.685	0.4949	0.8266	0.7108	0.7764	0.6258
izvor = danas	502	0.6726	0.6882	0.8731	0.8865	0.8166	0.821
izvor = n1info	679	0.6904	0.7009	0.8279	0.8497	0.811	0.8202
izvor = politika	518	0.6729	0.6091	0.861	0.838	0.8286	0.7932
izvor = rts	301	0.7048	0.5969	0.8153	0.7386	0.8033	0.7176
izvor = vreme	621	0.7291	0.6916	0.8713	0.8577	0.8505	0.8293
unutar navoda (P6, P13)	281	0.5043	0.2185	0.6737	0.4194	0.6128	0.2917
pitanja (P9)	93	0.586	0.8219	0.747	0.8993	0.7429	0.8811
konektori (P8)	91	0.6533	0.699	0.8429	0.8654	0.8205	0.8462
anotatori se složili	265	0.7893	0.7273	0.9479	0.9353	0.9274	0.9091
anotatori se nisu složili	84	0.488	0.4941	0.7102	0.7447	0.5819	0.557
