config	model	scheme	fold	macro_f1	f1_obj	f1_subj	accuracy	n_test	best_param	n_features
w1-tfidf-lower	logreg	plain	0	0.701	0.7507	0.6513	0.7093	313	10	5743
w1-tfidf-lower	logreg	plain	1	0.704	0.7541	0.6538	0.7125	313	10	5697
w1-tfidf-lower	logreg	plain	2	0.7122	0.7655	0.6588	0.722	313	10	5771
w1-tfidf-lower	logreg	plain	3	0.6982	0.756	0.6403	0.7093	313	10	5755
w1-tfidf-lower	logreg	plain	4	0.7254	0.7763	0.6745	0.7348	313	10	5789
w1-tfidf-lower	logreg	plain	5	0.6982	0.756	0.6403	0.7093	313	10	5692
w1-tfidf-lower	logreg	plain	6	0.6982	0.756	0.6403	0.7093	313	10	5699
w1-tfidf-lower	logreg	plain	7	0.6564	0.7344	0.5785	0.6741	313	10	5697
w1-tfidf-lower	logreg	plain	8	0.6571	0.7143	0.6	0.6667	312	10	5723
w1-tfidf-lower	logreg	plain	9	0.6904	0.7579	0.623	0.7051	312	10	5754
w1-tfidf-lower	logreg	grouped	0	0.6594	0.7325	0.5863	0.6751	317	10	5758
w1-tfidf-lower	logreg	grouped	1	0.6654	0.734	0.5968	0.6795	312	10	5698
w1-tfidf-lower	logreg	grouped	2	0.6747	0.7253	0.6241	0.6825	315	10	5765
w1-tfidf-lower	logreg	grouped	3	0.6274	0.705	0.5498	0.6435	317	10	5782
w1-tfidf-lower	logreg	grouped	4	0.6854	0.7135	0.6573	0.6879	314	10	5748
w1-tfidf-lower	logreg	grouped	5	0.6834	0.7453	0.6215	0.6955	312	10	5755
w1-tfidf-lower	logreg	grouped	6	0.6503	0.7352	0.5654	0.6709	313	10	5741
w1-tfidf-lower	logreg	grouped	7	0.7435	0.7759	0.7111	0.7476	309	10	5782
w1-tfidf-lower	logreg	grouped	8	0.7071	0.7725	0.6417	0.7217	309	10	5745
w1-tfidf-lower	logreg	grouped	9	0.7145	0.7624	0.6667	0.7226	310	10	5736
w1-tfidf-lower	nb	plain	0	0.7265	0.764	0.6889	0.7316	313	0.1	5743
w1-tfidf-lower	nb	plain	1	0.7092	0.7622	0.6562	0.7188	313	0.5	5697
w1-tfidf-lower	nb	plain	2	0.7385	0.7778	0.6992	0.7444	313	0.1	5771
w1-tfidf-lower	nb	plain	3	0.6324	0.6923	0.5725	0.6422	313	0.1	5755
w1-tfidf-lower	nb	plain	4	0.7158	0.7757	0.6559	0.7284	313	0.5	5789
w1-tfidf-lower	nb	plain	5	0.6652	0.7368	0.5935	0.6805	313	0.5	5692
w1-tfidf-lower	nb	plain	6	0.7045	0.7696	0.6393	0.7188	313	0.5	5699
w1-tfidf-lower	nb	plain	7	0.6795	0.746	0.6129	0.6933	313	0.1	5697
w1-tfidf-lower	nb	plain	8	0.6579	0.7127	0.6031	0.6667	312	0.5	5723
w1-tfidf-lower	nb	plain	9	0.751	0.8053	0.6967	0.7628	312	0.5	5754
w1-tfidf-lower	nb	grouped	0	0.6687	0.7335	0.6039	0.6814	317	0.1	5758
w1-tfidf-lower	nb	grouped	1	0.6542	0.7107	0.5977	0.6635	312	0.1	5698
w1-tfidf-lower	nb	grouped	2	0.6765	0.7207	0.6324	0.6825	315	0.1	5765
w1-tfidf-lower	nb	grouped	3	0.6302	0.7083	0.552	0.6467	317	0.5	5782
w1-tfidf-lower	nb	grouped	4	0.6793	0.7059	0.6528	0.6815	314	0.1	5748
w1-tfidf-lower	nb	grouped	5	0.6983	0.7534	0.6431	0.7083	312	0.1	5755
w1-tfidf-lower	nb	grouped	6	0.6652	0.7198	0.6107	0.6741	313	0.1	5741
w1-tfidf-lower	nb	grouped	7	0.6953	0.7594	0.6311	0.7087	309	0.5	5782
w1-tfidf-lower	nb	grouped	8	0.7327	0.7958	0.6695	0.7476	309	0.5	5745
w1-tfidf-lower	nb	grouped	9	0.691	0.7438	0.6381	0.7	310	0.1	5736
