config	model	scheme	fold	macro_f1	f1_obj	f1_subj	accuracy	n_test	best_param	n_features
w1-tfidf-lower-stem	logreg	plain	0	0.7339	0.7781	0.6897	0.7412	313	10	4806
w1-tfidf-lower-stem	logreg	plain	1	0.7129	0.7725	0.6532	0.7252	313	10	4757
w1-tfidf-lower-stem	logreg	plain	2	0.7276	0.7885	0.6667	0.7412	313	10	4788
w1-tfidf-lower-stem	logreg	plain	3	0.7142	0.7616	0.6667	0.722	313	10	4786
w1-tfidf-lower-stem	logreg	plain	4	0.7114	0.7668	0.6561	0.722	313	10	4789
w1-tfidf-lower-stem	logreg	plain	5	0.7023	0.7479	0.6566	0.7093	313	10	4757
w1-tfidf-lower-stem	logreg	plain	6	0.7053	0.7684	0.6423	0.7188	313	10	4765
w1-tfidf-lower-stem	logreg	plain	7	0.6835	0.7391	0.6279	0.6933	313	10	4775
w1-tfidf-lower-stem	logreg	plain	8	0.6801	0.7232	0.637	0.6859	312	10	4803
w1-tfidf-lower-stem	logreg	plain	9	0.6884	0.7533	0.6235	0.7019	312	10	4802
w1-tfidf-lower-stem	logreg	grouped	0	0.6687	0.7335	0.6039	0.6814	317	10	4765
w1-tfidf-lower-stem	logreg	grouped	1	0.6271	0.6904	0.5637	0.6378	312	10	4791
w1-tfidf-lower-stem	logreg	grouped	2	0.645	0.7014	0.5887	0.654	315	10	4825
w1-tfidf-lower-stem	logreg	grouped	3	0.6303	0.7003	0.5603	0.6435	317	10	4801
w1-tfidf-lower-stem	logreg	grouped	4	0.6996	0.7169	0.6824	0.7006	314	10	4755
w1-tfidf-lower-stem	logreg	grouped	5	0.6953	0.7656	0.625	0.7115	312	10	4778
w1-tfidf-lower-stem	logreg	grouped	6	0.6821	0.7634	0.6009	0.7029	313	10	4803
w1-tfidf-lower-stem	logreg	grouped	7	0.7435	0.7867	0.7004	0.7508	309	10	4805
w1-tfidf-lower-stem	logreg	grouped	8	0.7193	0.7692	0.6693	0.7282	309	10	4775
w1-tfidf-lower-stem	logreg	grouped	9	0.6932	0.7486	0.6378	0.7032	310	10	4779
w1-tfidf-lower-stem	nb	plain	0	0.7639	0.8107	0.7171	0.7732	313	0.5	4806
w1-tfidf-lower-stem	nb	plain	1	0.7165	0.7663	0.6667	0.7252	313	0.1	4757
w1-tfidf-lower-stem	nb	plain	2	0.7284	0.7796	0.6772	0.738	313	0.1	4788
w1-tfidf-lower-stem	nb	plain	3	0.7203	0.7766	0.664	0.7316	313	0.5	4786
w1-tfidf-lower-stem	nb	plain	4	0.7284	0.7796	0.6772	0.738	313	0.1	4789
w1-tfidf-lower-stem	nb	plain	5	0.7017	0.7493	0.654	0.7093	313	0.1	4757
w1-tfidf-lower-stem	nb	plain	6	0.7238	0.7865	0.6612	0.738	313	0.1	4765
w1-tfidf-lower-stem	nb	plain	7	0.7181	0.7721	0.664	0.7284	313	0.5	4775
w1-tfidf-lower-stem	nb	plain	8	0.6967	0.7473	0.6462	0.7051	312	0.5	4803
w1-tfidf-lower-stem	nb	plain	9	0.7274	0.7938	0.661	0.7436	312	0.5	4802
w1-tfidf-lower-stem	nb	grouped	0	0.6792	0.7551	0.6033	0.6972	317	0.5	4765
w1-tfidf-lower-stem	nb	grouped	1	0.6587	0.7287	0.5887	0.6731	312	0.5	4791
w1-tfidf-lower-stem	nb	grouped	2	0.6418	0.7078	0.5759	0.654	315	0.5	4825
w1-tfidf-lower-stem	nb	grouped	3	0.6263	0.7065	0.5462	0.6435	317	0.5	4801
w1-tfidf-lower-stem	nb	grouped	4	0.6964	0.7438	0.6491	0.7038	314	0.5	4755
w1-tfidf-lower-stem	nb	grouped	5	0.7464	0.7968	0.696	0.7564	312	0.1	4778
w1-tfidf-lower-stem	nb	grouped	6	0.7179	0.799	0.6368	0.7412	313	0.5	4803
w1-tfidf-lower-stem	nb	grouped	7	0.7239	0.7784	0.6694	0.7346	309	0.5	4805
w1-tfidf-lower-stem	nb	grouped	8	0.7082	0.7629	0.6534	0.7184	309	0.1	4775
w1-tfidf-lower-stem	nb	grouped	9	0.7029	0.7575	0.6482	0.7129	310	0.1	4779
