config	model	scheme	macro_f1_mean	macro_f1_std	n_features_mean	diff_plain_minus_grouped	wilcoxon_p_vs_ref
w1-tfidf-lower	logreg	plain	0.6941	0.0219	5742	+0.0130	
w1-tfidf-lower	logreg	grouped	0.6811	0.0338	5742	+0.0130	
w1-tfidf-lower	nb	plain	0.6981	0.0381	5742	+0.0189	
w1-tfidf-lower	nb	grouped	0.6791	0.0278	5742	+0.0189	
w12-tfidf-lower	logreg	plain	0.6938	0.0285	9903	+0.0200	0.8672
w12-tfidf-lower	logreg	grouped	0.6737	0.0301	9903	+0.0200	0.0645
w12-tfidf-lower	nb	plain	0.7018	0.0393	9903	+0.0114	0.3613
w12-tfidf-lower	nb	grouped	0.6904	0.0247	9903	+0.0114	0.0371
w13-tfidf-lower	logreg	plain	0.6946	0.0304	11074	+0.0210	1.0000
w13-tfidf-lower	logreg	grouped	0.6736	0.0368	11074	+0.0210	0.1934
w13-tfidf-lower	nb	plain	0.7041	0.0388	11074	+0.0136	0.3750
w13-tfidf-lower	nb	grouped	0.6905	0.0279	11074	+0.0136	0.0840
w12-tf-lower	logreg	plain	0.6942	0.0297	9903	+0.0226	0.9219
w12-tf-lower	logreg	grouped	0.6716	0.0339	9903	+0.0226	0.0195
w12-tf-lower	nb	plain	0.7148	0.0330	9903	+0.0260	0.0098
w12-tf-lower	nb	grouped	0.6888	0.0277	9903	+0.0260	0.1055
w13-tf-lower	logreg	plain	0.6932	0.0289	11074	+0.0157	1.0000
w13-tf-lower	logreg	grouped	0.6775	0.0341	11074	+0.0157	0.3594
w13-tf-lower	nb	plain	0.7120	0.0323	11074	+0.0236	0.0371
w13-tf-lower	nb	grouped	0.6884	0.0274	11074	+0.0236	0.1602
